,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,result
375,28501,28501,28504,28502,28502,28501,28495,28498,28497,28487,28464
376,28462,28442,28441,28437,28439,28443,28449,28451,28527,28533,28568
377,28568,28550,28545,28542,28543,28544,28543,28548,28537,28540,28539
378,28545,28542,28543,28544,28543,28548,28537,28540,28539,28549,28555
379,28549,28555,28561,28557,28559,28558,28552,28547,28543,28540,28538
380,28552,28547,28543,28540,28538,28537,28540,28531,28537,28540,28531
381,28547,28543,28540,28538,28537,28540,28531,28537,28540,28531,28532
382,28523,28519,28518,28520,28517,28515,28511,28514,28511,28522,28524
383,28522,28524,28528,28525,28527,28527,28527,28528,28518,28522,28527
384,28527,28527,28527,28528,28518,28522,28527,28529,28553,28565,28557
385,28527,28529,28553,28565,28557,28550,28543,28542,28505,28503,28497
386,28553,28565,28557,28550,28543,28542,28505,28503,28497,28490,28486
387,28496,28497,28501,28489,28487,28486,28488,28486,28483,28485,28484
388,28487,28486,28488,28486,28483,28485,28484,28496,28488,28478,28474
389,28486,28488,28486,28483,28485,28484,28496,28488,28478,28474,28479
390,28485,28484,28496,28488,28478,28474,28479,28482,28476,28482,28486
